[2026-03-17 11:00:14,905][transformers.models.auto.image_processing_auto][WARNING] - The image processor of type `Qwen2VLImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`. 
[2026-03-25 14:45:07,703][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:12,995][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:13,373][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:45:13,554][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:45:13,935][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:14,303][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:45:14,483][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:45:14,850][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:45:15,029][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/config.json "HTTP/1.1 200 OK"
[2026-03-25 14:45:15,409][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:45:15,589][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:45:15,961][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:16,355][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-03-25 14:45:17,075][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:45:17,259][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/config.json "HTTP/1.1 200 OK"
[2026-03-25 14:45:17,632][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:17,999][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/model.safetensors.index.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:18,445][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/pytorch_model.bin "HTTP/1.1 302 Found"
[2026-03-25 14:45:18,815][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:19,478][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336 "HTTP/1.1 200 OK"
[2026-03-25 14:45:19,869][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336/commits/main "HTTP/1.1 200 OK"
[2026-03-25 14:45:20,256][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336/discussions?p=0 "HTTP/1.1 200 OK"
[2026-03-25 14:45:20,640][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336/commits/refs%2Fpr%2F20 "HTTP/1.1 200 OK"
[2026-03-25 14:45:21,007][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/refs%2Fpr%2F20/model.safetensors.index.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:45:21,382][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/refs%2Fpr%2F20/model.safetensors "HTTP/1.1 302 Found"
[2026-03-25 14:47:30,463][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:30,836][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:47:30,837][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-03-25 14:47:31,019][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:47:31,393][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:31,773][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:47:31,958][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:47:32,338][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:47:32,525][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:47:32,901][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:47:33,083][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/config.json "HTTP/1.1 200 OK"
[2026-03-25 14:47:33,460][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:33,835][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:34,213][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/chat_template.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:34,590][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/chat_template.jinja "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:34,987][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/audio_tokenizer_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:35,362][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:35,738][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:47:35,920][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:47:36,305][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:36,678][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:47:36,862][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:47:37,231][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:47:37,412][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/config.json "HTTP/1.1 200 OK"
[2026-03-25 14:47:37,786][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:47:37,970][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:47:38,344][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:38,719][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-03-25 14:47:39,393][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:47:39,575][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/config.json "HTTP/1.1 200 OK"
[2026-03-25 14:47:39,953][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:40,325][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/model.safetensors.index.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:40,707][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/pytorch_model.bin "HTTP/1.1 302 Found"
[2026-03-25 14:47:41,082][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:41,473][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336 "HTTP/1.1 200 OK"
[2026-03-25 14:47:41,924][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336/commits/main "HTTP/1.1 200 OK"
[2026-03-25 14:47:42,320][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336/discussions?p=0 "HTTP/1.1 200 OK"
[2026-03-25 14:47:42,709][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/openai/clip-vit-large-patch14-336/commits/refs%2Fpr%2F20 "HTTP/1.1 200 OK"
[2026-03-25 14:47:43,084][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/refs%2Fpr%2F20/model.safetensors.index.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:47:43,463][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/refs%2Fpr%2F20/model.safetensors "HTTP/1.1 302 Found"
[2026-03-25 14:50:16,508][huggingface_hub.utils._http][WARNING] - '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)' thrown while requesting HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json
[2026-03-25 14:50:16,509][huggingface_hub.utils._http][WARNING] - Retrying in 1s [Retry 1/5].
[2026-03-25 14:52:28,254][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:52:28,620][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:52:28,812][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:52:29,189][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:52:29,190][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-03-25 14:52:29,370][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:54:20,678][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:54:20,680][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-03-25 14:54:21,062][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:54:21,441][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:54:21,810][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:54:21,986][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:58:50,740][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:58:50,741][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-03-25 14:58:51,128][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:58:51,307][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:58:51,694][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:58:51,877][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:59:15,093][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:59:15,463][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:59:15,646][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:59:16,023][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:59:16,024][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-03-25 14:59:16,209][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:59:45,329][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-25 14:59:45,330][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-03-25 14:59:45,606][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:59:45,697][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-25 14:59:45,977][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-25 14:59:46,069][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-03-29 15:45:40,300][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-29 15:45:40,584][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-29 15:45:40,689][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-29 15:45:40,981][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-29 15:45:40,982][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-03-29 15:45:41,084][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-03-29 15:46:49,361][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-03-29 15:46:49,654][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-29 15:46:49,751][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-03-29 15:46:50,092][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/openai/clip-vit-large-patch14-336/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-03-29 15:46:50,199][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/openai/clip-vit-large-patch14-336/ce19dc912ca5cd21c8a653c79e251e808ccabcd1/tokenizer_config.json "HTTP/1.1 200 OK"
